bill,prop_id,sections,note,identity_basis,bill_url
H4287,P-300,s.8(b),"Salem home-rule petition, same regime",inferred-analytic,https://malegislature.gov/Bills/193/H4287
H4287,P-378,s.8(a),"Salem home-rule petition, same regime",inferred-analytic,https://malegislature.gov/Bills/193/H4287
H4287,P-379,s.8(a),Salem home-rule petition; variant: 48 hours after final disposition,inferred-analytic,https://malegislature.gov/Bills/193/H4287
H4323,P-251,c.6A s.18G(b),"redraft: public-records-exemption mechanism, broader access list, $1,000 fine",verified-official-lineage,https://malegislature.gov/Bills/193/H4323
H4323,P-252,c.6A s.18G(c),weaker public access: PII redactable,verified-official-lineage,https://malegislature.gov/Bills/193/H4323
H4323,P-253,c.6A s.18G(a),H4323 only,sole-carrier,https://malegislature.gov/Bills/193/H4323
H4356,P-295,"new c.239 s.16(a)-(h),(j)-(k)",Judiciary redraft of H1690/S956,verified-official-lineage,https://malegislature.gov/Bills/193/H4356
H4356,P-296,new c.239 s.16(i); c.93 s.52 amendment,Judiciary redraft of H1690/S956,verified-official-lineage,https://malegislature.gov/Bills/193/H4356
H4359,P-171,"c.6 s.220(b),(l)",redraft; unchanged,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-172,c.6 s.220(c),"redraft; broader: investigate and verify, state police may assist",verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-173,c.6 s.220(d),redraft; adds RMV-assist purpose; documentation duty narrowed to FBI requests,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-174,c.6 s.220(e),redraft; unchanged,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-175,c.6 s.220(f),redraft; unchanged,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-176,"c.6 s.220(g),(h)",redraft; FBI searches counted by requesting agency,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-177,"c.6 s.220(i),(j)",redraft; unchanged,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4359,P-178,c.6 s.220(k),redraft; unchanged,verified-official-lineage,https://malegislature.gov/Bills/193/H4359
H4421,P-154,"c.7E ss.1,2(a)-(d),3(a)-(b),(f),4",redraft of H530/S343; identical,verified-text-identical,https://malegislature.gov/Bills/193/H4421
H4421,P-155,c.7E s.3(c)-(e),redraft of H530/S343; identical,verified-text-identical,https://malegislature.gov/Bills/193/H4421
H4421,P-156,c.7E s.2(e),redraft; stricter: adds 20 C.F.R. Part 603 UI-confidentiality condition,verified-text-identical,https://malegislature.gov/Bills/193/H4421
H4421,P-157,c.7E s.5,redraft of H530/S343; identical,verified-text-identical,https://malegislature.gov/Bills/193/H4421
H4421,P-158,c.7E s.6,redraft of H530/S343; identical,verified-text-identical,https://malegislature.gov/Bills/193/H4421
H4450,P-302,new c.90 s.14C(e)(2),Transportation redraft of S2275/H3306/H3336/H3375/H3440; variant: images are municipal property; vendor may not use them for any other purpose,verified-text-identical,https://malegislature.gov/Bills/193/H4450
H4450,P-371,new c.90 s.14C(e)(1),Transportation redraft of S2275/H3306/H3336/H3375/H3440; images obtainable only by court order outside enforcement or defense,verified-text-identical,https://malegislature.gov/Bills/193/H4450
H4450,P-379,new c.90 s.14C(e)(2),Transportation redraft of S2275/H3306/H3336/H3375/H3440; variant: 30-day non-violation / 1-year post-disposition destruction with annual attestation to the state secretary,verified-text-identical,https://malegislature.gov/Bills/193/H4450
H4450,P-380,new c.90 s.14C(b)(4),Transportation redraft of S2275/H3306/H3336/H3375/H3440; variant: best-efforts ('to the extent practicable'); no redaction duty,verified-text-identical,https://malegislature.gov/Bills/193/H4450
H4632,P-001,c.93M s.2,variant: drops civic-engagement purpose and explicit targeted-ads secondary purpose,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-002,"c.93M ss.1(a)(10),2(c),4(b),5(c),10(f)",variant: codifies dark-pattern definition incl. FTC reference,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-003,c.93M s.3(a)(1),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-004,"c.93M ss.1(a)(29),3(a)(2)","stricter: sensitive-data definition broadened (reproductive health, pregnancy, victim status)",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-005,c.93M s.3(a)(3),variant: defined consent replaces affirmative express consent,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-006,c.93M s.3(a)(4),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-007,c.93M s.5,"stricter: point-of-collection display, no account conditioning",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-008,c.93M s.6(a)(4),variant: adds retention-evaluation duty,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-009,c.93M s.7,,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-010,c.93M s.9(i)-(j),stricter: homepage placement plus separate biometric and geolocation policies,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-012,"c.93M s.10(a)-(c),(e)-(j)","variant: forwarding liability shield, loyalty conflict procedure",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-013,"c.93M ss.1(a)(26),10(d)",added by redraft,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-014,c.93M s.15,added by redraft,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-015,"c.93M ss.1(a)(18),16",,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-016,"c.93M ss.17,14(a)(4)",variant: dedicated penalties replaced by general enforcement; AG broker rulemaking,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-017,c.93M s.8,stricter: protected classes expanded to c.151B universe,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-022,c.93M s.11,,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-023,"c.93M s.12(a)-(f),(j)","weaker: defendant class narrowed to large data holders; adds 93A $5,000 floor",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-024,"c.93M ss.12(g)-(h),14",variant: adds operating-suspension remedy; drops earmarking,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-025,c.93M s.12(i),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-121,"c.93N ss.1,2(a)-(b),(d)","variant of H357/S148 chapter: softened AG regs, altered retroactivity",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-122,c.93N s.2(c),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-125,c.93N s.2(f),weaker: legal-mandate exception broadened to court orders/subpoenas/CIDs,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-126,c.93N s.2(i),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-127,c.93N s.2(g)-(h),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-129,c.93N s.3,,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-130,c.93N s.4,"variant: $5,000/actual damages, 93A UDAP deeming",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-271,c.93M s.4,"weaker: 12-month lookback, 45-day response",verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-272,c.93M s.4,,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-273,c.93M s.4,FCRA exception replaces school exception,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-274,c.93M s.4,,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-281,c.93N s.2(e)(1),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-282,c.93N s.2(e)(2),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-283,c.93N s.2(e)(4),,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-284,c.93N s.2(e)(3),retroactive application,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4632,P-285,c.93N s.2(e)(5),retroactive application,verified-text-identical,https://malegislature.gov/Bills/193/H4632
H4731,P-366,new c.160 s.253,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H4731
H4744,P-266,2024 c.118 s.6 (c.265 s.43A(b)),ENACTED; conference text adds 'digitization'; (c) repeat-offender penalty attaches,verified-official-lineage,https://malegislature.gov/Bills/193/H4744
H4744,P-280,2024 c.118 s.6 (c.265 s.43A(b)(5)),ENACTED,verified-official-lineage,https://malegislature.gov/Bills/193/H4744
H4799,P-303,2024 c.206 s.15 (c.159A1/2 s.12(a)-(c)),"enacted vehicle (FY24 closeout supplemental); outside section, no filed antecedent",verified-official-lineage,https://malegislature.gov/Bills/193/H4799
H4799,P-304,2024 c.206 s.15 (c.159A1/2 s.12(d)-(e)),"enacted vehicle (FY24 closeout supplemental); outside section, no filed antecedent",verified-official-lineage,https://malegislature.gov/Bills/193/H4799
H4844,P-121,"c.93M ss.1,2(a); s.4(iii) consent rulemaking; bill SECTIONS 2-3",narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-122,c.93M s.4(ii),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action); rulemaking variant (AG to set targeted-ad limits),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-125,c.93M s.2(c),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-127,c.93M s.2(a)(i); s.4(i) policy-content rulemaking,narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-129,c.93M s.4(v),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action); rulemaking variant (AG to prohibit adverse actions),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-281,c.93M s.2(b)(i),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-282,c.93M s.2(b)(ii); s.4(iv) destruction rulemaking,narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-283,c.93M s.2(b)(iv),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-284,c.93M s.2(b)(iii),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action); adds 'gift' to the sale ban,inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-285,c.93M s.2(b)(v),narrowed to reproductive/gender-affirming-care location information; enforcement is 93A/AG only (no private right of action),inferred-analytic,https://malegislature.gov/Bills/193/H4844
H4844,P-286,c.93M s.4(vi),H4844 only,sole-carrier,https://malegislature.gov/Bills/193/H4844
H4940,P-302,new c.90 s.14C(d)(2),House Ways and Means redraft of H4450; superseded by the S3005 text before enactment,verified-official-lineage,https://malegislature.gov/Bills/193/H4940
H4940,P-371,new c.90 s.14C(d)(1),House Ways and Means redraft of H4450; superseded by the S3005 text before enactment,verified-official-lineage,https://malegislature.gov/Bills/193/H4940
H4940,P-379,new c.90 s.14C(d)(2),House Ways and Means redraft of H4450; superseded by the S3005 text before enactment; variant: 30-day/1-year,verified-official-lineage,https://malegislature.gov/Bills/193/H4940
H4940,P-380,new c.90 s.14C(c)(3),"House Ways and Means redraft of H4450, superseded by the S3005 text before enactment; variant: best-efforts, no redaction duty",verified-official-lineage,https://malegislature.gov/Bills/193/H4940
H4977,P-295,2024 c.150 s.52 (new c.239 s.16),enacted vehicle (Affordable Homes Act),inferred-analytic,https://malegislature.gov/Bills/193/H4977
H4977,P-296,"2024 c.150 ss.28,52 (c.93 s.52(a)(7); c.239 s.16(i))",enacted vehicle (Affordable Homes Act),inferred-analytic,https://malegislature.gov/Bills/193/H4977
H5049,P-294,SECTION 70 (amending c.268B s.3),closeout-supplemental stage carrying the withholding expansion,verified-official-lineage,https://malegislature.gov/Bills/193/H5049
H5077,P-294,2024 c.248 s.27 (c.268B s.3),enacted vehicle (December 2024 supplemental),verified-official-lineage,https://malegislature.gov/Bills/193/H5077
H5132,P-294,SECTION 27 (amending c.268B s.3),closeout-supplemental stage carrying the withholding expansion,verified-official-lineage,https://malegislature.gov/Bills/193/H5132
H5154,P-299,SECTION 1 (c.4 s.7 cl.26(w)); c.90K s.5(b),House redraft of S2884,verified-official-lineage,https://malegislature.gov/Bills/193/H5154
H5154,P-300,c.90K s.5(a),House redraft of S2884,verified-official-lineage,https://malegislature.gov/Bills/193/H5154
H5154,P-302,c.90K s.5(d),House redraft of S2884,verified-official-lineage,https://malegislature.gov/Bills/193/H5154
H5154,P-380,c.90K s.5(c),House redraft of S2884; flat prohibition,verified-official-lineage,https://malegislature.gov/Bills/193/H5154
H5154,P-381,c.90K s.5(c),House redraft of S2884; redaction duty,verified-official-lineage,https://malegislature.gov/Bills/193/H5154
H530,P-154,"c.7E ss.1,2(a)-(d),3(a)-(b),(f),4",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H530
H530,P-155,c.7E s.3(c)-(e),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H530
H530,P-156,c.7E s.2(e),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H530
H530,P-157,c.7E s.5,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H530
H530,P-158,c.7E s.6,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H530
H532,P-141,c.71 s.34J(a)(1),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-142,c.71 s.34J(a)(2),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-143,c.71 s.34J(a)(3),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-144,c.71 s.34J(a)(4),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-145,c.71 s.34J(b)(1),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-146,c.71 s.34J(b)(2),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-147,c.71 s.34K,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-148,c.71 s.34L(a)-(b),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-149,c.71 s.34L(c),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-150,c.71 s.34L(d),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-151,c.71 s.34L(e),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H532,P-152,c.71 s.34L(f),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H532
H57,P-291,inserted c.222 s.29 (bill lines 673-677),Governor's FY23 supplemental filing carrying the notary restriction,verified-official-lineage,https://malegislature.gov/Bills/193/H57
H58,P-291,2023 c.2 s.33 (new c.222 s.29),enacted vehicle (FY23 supplemental budget),verified-official-lineage,https://malegislature.gov/Bills/193/H58
H582,P-360,"SECTION 1 (rewritten c.76 s.15, confidentiality clause)",,sole-carrier,https://malegislature.gov/Bills/193/H582
H582,P-363,SECTION 1 (admissibility clause),,sole-carrier,https://malegislature.gov/Bills/193/H582
H582,P-364,SECTION 1 (rating/standing clause),,sole-carrier,https://malegislature.gov/Bills/193/H582
H582,P-370,SECTION 1 (manifest-bad-faith immunity clause),,sole-carrier,https://malegislature.gov/Bills/193/H582
H60,P-031,c.93M s.5,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-032,c.93M s.6,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-033,c.93M s.7,identical companion; 10-year archive for large holders,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-034,"c.93M ss.8,17(b)-(d),25(u)(3)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-035,c.93M s.9,identical companion; consent-gate mechanism; 12-month re-request cooldown,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-037,c.93M s.11,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-038,c.93M s.12,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-039,c.93M s.13,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-040,"c.93M ss.16,18",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-041,c.93M s.19,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-042,"c.93M ss.20,25(p)(2)-(3),25(f)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-043,c.93M s.21,identical companion; risk assessments; algorithmic detail for large holders,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-044,c.93M s.22,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-045,c.93M s.25,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-046,c.93M s.26,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-047,c.93M s.27,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-048,c.93M s.28,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-049,c.93M s.30; SECTION 2,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-275,c.93M s.10,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H60,P-276,c.93M s.10,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/H60
H63,P-081,c.93M s.2(a)-(c); bill SECTION 2,"stricter: handwritten consent for identification, 3-year expiry, retroactive re-consent",inferred-analytic,https://malegislature.gov/Bills/193/H63
H63,P-082,c.93M s.2(c)-(e),richer policy; 20-day change notice,inferred-analytic,https://malegislature.gov/Bills/193/H63
H63,P-083,c.93M s.2(g),adds 911 exception and per-disclosure handwritten consent,inferred-analytic,https://malegislature.gov/Bills/193/H63
H63,P-084,"c.93M ss.1,2(h)",stricter: any disclosure for consideration,inferred-analytic,https://malegislature.gov/Bills/193/H63
H63,P-085,c.93M s.2(f),,inferred-analytic,https://malegislature.gov/Bills/193/H63
H63,P-086,c.93M s.3,H63 only,sole-carrier,https://malegislature.gov/Bills/193/H63
H63,P-087,c.93M s.4,H63 only,sole-carrier,https://malegislature.gov/Bills/193/H63
H63,P-088,c.93M s.5,"revenue-scaled liquidated damages, anti-arbitration, presumption of harm",inferred-analytic,https://malegislature.gov/Bills/193/H63
H637,P-335,new c.111 s.72CC(f),companions; DPH penalties attach,verified-text-identical,https://malegislature.gov/Bills/193/H637
H76,P-091,"SECTIONS 1,4(i)(E)",identical companion of S30,verified-text-identical,https://malegislature.gov/Bills/193/H76
H76,P-092,SECTION 4(i)(F),identical companion of S30,verified-text-identical,https://malegislature.gov/Bills/193/H76
H76,P-093,"SECTIONS 3,4(i)(B),(C),(G)-(J),5",identical companion of S30,verified-text-identical,https://malegislature.gov/Bills/193/H76
H76,P-094,"SECTIONS 4(ii),10",identical companion of S30,verified-text-identical,https://malegislature.gov/Bills/193/H76
H76,P-095,SECTION 2,identical companion of S30,verified-text-identical,https://malegislature.gov/Bills/193/H76
H76,P-096,SECTION 7,identical companion of S30; broad harm categories,verified-text-identical,https://malegislature.gov/Bills/193/H76
H76,P-097,SECTIONS 8-10,identical companion of S30; depends on P-093 subclause references,verified-text-identical,https://malegislature.gov/Bills/193/H76
H80,P-162,"c.93 s.115(b),(c),(f),(g),(h)",,sole-carrier,https://malegislature.gov/Bills/193/H80
H80,P-163,c.93 s.115(d),,sole-carrier,https://malegislature.gov/Bills/193/H80
H80,P-164,"c.93 s.115(i),(k),(m)",,sole-carrier,https://malegislature.gov/Bills/193/H80
H83,P-001,c.93L s.2,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-002,"c.93L ss.2(c),4(c),8(b),9(e)",identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-003,c.93L s.3(1),identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-004,"c.93L ss.1,3(2)",identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-005,c.93L s.3(3),identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-006,c.93L s.3(4),identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-007,c.93L s.4,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-008,c.93L s.5,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-009,c.93L s.6,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-010,c.93L s.7,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-012,c.93L s.9,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-015,c.93L s.10,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-016,c.93L s.11 (Data Brokers),identical companion; dedicated $100/day penalties,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-017,c.93L s.11 (Civil rights)(a)-(c),identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-018,c.93L s.11 (Civil rights)(d),identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-019,c.93L s.12(a)-(b),identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-020,c.93L s.12(c)-(d),identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-021,c.93L s.12(e)-(g),identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-022,c.93L s.13,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-023,"c.93L ss.14(a)-(e),15(a)",identical companion; defendants: any non-small-business,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-024,c.93L s.14,identical companion; awards earmarked to individuals,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-025,c.93L s.14 (final),identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-026,c.93L s.16,identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-027,c.93L s.15(b),identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-028,SECTION 2 (c.149 s.204),identical companion,verified-text-near-identical,https://malegislature.gov/Bills/193/H83
H83,P-271,c.93L s.8,identical companion; 24-month lookback; 30-day response,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-272,c.93L s.8,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-273,c.93L s.8,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
H83,P-274,c.93L s.8,identical companion,verified-official-lineage,https://malegislature.gov/Bills/193/H83
S1012,P-266,SECTION 5 (c.265 s.43A(b) rewrite),as-filed version; no digitization (deepfake) coverage,verified-text-identical,https://malegislature.gov/Bills/193/S1012
S1012,P-280,SECTION 5 (c.265 s.43A(b)(5)),,verified-text-identical,https://malegislature.gov/Bills/193/S1012
S1013,P-308,new c.56 s.48A(c),penalties attach,sole-carrier,https://malegislature.gov/Bills/193/S1013
S1022,P-251,c.6A s.18M,"identical to H1442; private-data framing, consent-or-court-order rule",verified-text-identical,https://malegislature.gov/Bills/193/S1022
S1022,P-252,c.6A s.18M para.1,identical to H1442,verified-text-identical,https://malegislature.gov/Bills/193/S1022
S1116,P-226,SECTION 2 (new c.214 s.3C); SECTION 1 (c.12 s.11H),stricter variant: adds AG civil-rights enforcement and treble bias damages,inferred-analytic,https://malegislature.gov/Bills/193/S1116
S1133,P-305,SECTION 2 (c.221D s.2),companion of H1566,verified-text-identical,https://malegislature.gov/Bills/193/S1133
S1133,P-306,SECTION 3(a),companion of H1566,verified-text-identical,https://malegislature.gov/Bills/193/S1133
S1133,P-307,SECTION 3(b)-(f),companion of H1566,verified-text-identical,https://malegislature.gov/Bills/193/S1133
S1136,P-368,new c.41 s.97D1/2,sole section,sole-carrier,https://malegislature.gov/Bills/193/S1136
S1139,P-266,SECTION 5 (c.265 s.43A(b) rewrite),as-filed version; no digitization (deepfake) coverage,verified-text-identical,https://malegislature.gov/Bills/193/S1139
S1139,P-280,SECTION 5 (c.265 s.43A(b)(5)),,verified-text-identical,https://malegislature.gov/Bills/193/S1139
S1228,P-320,SECTIONS 3-6,general/specific/simultaneous notice regimes,inferred-analytic,https://malegislature.gov/Bills/193/S1228
S1228,P-321,"SECTIONS 2, 7, 12",monitoring-only act; collection/private-area/First Amendment limits,inferred-analytic,https://malegislature.gov/Bills/193/S1228
S1228,P-322,SECTION 9,no adverse action without compliance; no sole-basis quotas,inferred-analytic,https://malegislature.gov/Bills/193/S1228
S1228,P-323,SECTION 8,,inferred-analytic,https://malegislature.gov/Bills/193/S1228
S1228,P-328,"SECTIONS 10, 12(d)-(e)",enforcement (SECTION 13) and non-waiver attach,sole-carrier,https://malegislature.gov/Bills/193/S1228
S1368,P-260,SECTION 1 (c.111 s.70E),,sole-carrier,https://malegislature.gov/Bills/193/S1368
S1368,P-261,SECTION 2,,sole-carrier,https://malegislature.gov/Bills/193/S1368
S140,P-091,SECTIONS 1-3,own biometric-indicator definition incl. genetic information; no photo exclusions,inferred-analytic,https://malegislature.gov/Bills/193/S140
S148,P-121,"c.93L ss.1,2(a),(b),(d),6; SECTIONS 2-3",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-122,c.93L s.2(c),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-125,c.93L s.2(f),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-126,c.93L s.2(i),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-127,"c.93L s.2(g),(h)",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-128,c.93L s.3(a)-(c),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-129,c.93L s.4,identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-130,"c.93L ss.5,7",identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-281,c.93L s.2(e)(1),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-282,c.93L s.2(e)(2),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-283,c.93L s.2(e)(4),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-284,c.93L s.2(e)(3),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S148,P-285,c.93L s.2(e)(5),identical companion,verified-text-identical,https://malegislature.gov/Bills/193/S148
S1483,P-299,c.4 s.7 cl.26(w); c.90J s.8(c),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/S1483
S1483,P-300,c.90J s.8(b),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/S1483
S1483,P-302,c.90J s.8(e),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/S1483
S1483,P-378,c.90J s.8(a),road-safety/bus-camera c.90J regime,verified-text-identical,https://malegislature.gov/Bills/193/S1483
S1483,P-379,c.90J s.8(a),road-safety/bus-camera c.90J regime; variant: destruction not more than 48 hours after final disposition,verified-text-identical,https://malegislature.gov/Bills/193/S1483
S1483,P-380,c.90J s.8(d),"road-safety/bus-camera c.90J regime; variant: best-efforts ('to the extent practicable, additional efforts shall be made'), against the c.363 line's flat prohibition",verified-text-identical,https://malegislature.gov/Bills/193/S1483
S1503,P-369,c.41 s.97D amendment (sole section),,sole-carrier,https://malegislature.gov/Bills/193/S1503
