item_type,a,b,question,excerpt_a,excerpt_b,sources
proposition_identity,P-283:H4844,P-283:H357,"Is H4844 (c.93M s.2(b)(iv)) the same smallest change as H357's version of P-283? Analytic judgment, not companion/redraft verified.",derive or infer from reproductive or gender-affirming care location information any,derive or infer from location information any data that is not necessary to carry out a permissible purpose,https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-284:H4844,P-284:H357,"Is H4844 (c.93M s.2(b)(iii)) the same smallest change as H357's version of P-284? Analytic judgment, not companion/redraft verified.","sell, rent, trade, gift or lease reproductive or gender-affirming care location information","sell, rent, trade, or lease location information to third parties",https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-285:H4844,P-285:H357,"Is H4844 (c.93M s.2(b)(v)) the same smallest change as H357's version of P-285? Analytic judgment, not companion/redraft verified.","disclose, cause to disclose or assist with or facilitate the disclosure of an individual's","disclose, cause to disclose, or assist with or facilitate the disclosure of an individual's location information to third parties, unless such disclosure is (i) necessary to carry out the permissible purpose for which the information was collected, or (ii) requested by the individual",https://malegislature.gov/Bills/193/H4844; https://malegislature.gov/Bills/193/H357
proposition_identity,P-294:H2991,P-294:H5049,"Is H2991 (sole section (SFI home-address restriction)) the same smallest change as H5049's version of P-294? Analytic judgment, not companion/redraft verified.","to exempt from public disclosure those portions of a statement of financial interest filed pursuant to section 5, which contain the home address of the filer","home address, personal email address, personal and home telephone number of the filer, and the name and home address of a family member of the filer",https://malegislature.gov/Bills/193/H2991; https://malegislature.gov/Bills/193/H5049
proposition_identity,P-295:H4138,P-295:H1690,"Is H4138 (SECTION 47 (new c.239 s.15(a)-(d))) the same smallest change as H1690's version of P-295? Analytic judgment, not companion/redraft verified.",any person having a court record of a no-fault eviction on file in a court may petition the court to seal the court record at any time after the conclusion of the action and exhaustion of all rights of appeal,may petition the court to seal the court record,https://malegislature.gov/Bills/193/H4138; https://malegislature.gov/Bills/193/H1690
proposition_identity,P-295:H4977,P-295:H1690,"Is H4977 (2024 c.150 s.52 (new c.239 s.16)) the same smallest change as H1690's version of P-295? Analytic judgment, not companion/redraft verified.",may petition the court to seal the court record (2024 c.150 s.52),may petition the court to seal the court record,https://malegislature.gov/Bills/193/H4977; https://malegislature.gov/Bills/193/H1690
proposition_identity,P-296:H4138,P-296:H1690,"Is H4138 (SECTION 47 (c.239 s.15 consumer-report provisions)) the same smallest change as H1690's version of P-296? Analytic judgment, not companion/redraft verified.","a consumer reporting agency shall not disclose the existence of, or information regarding, a court record sealed under this section","a consumer reporting agency shall not disclose the existence of, or information regarding, an eviction record sealed under this section",https://malegislature.gov/Bills/193/H4138; https://malegislature.gov/Bills/193/H1690
proposition_identity,P-296:H4977,P-296:H1690,"Is H4977 (2024 c.150 ss.28,52 (c.93 s.52(a)(7); c.239 s.16(i))) the same smallest change as H1690's version of P-296? Analytic judgment, not companion/redraft verified.","a consumer reporting agency shall not disclose the existence of, or information regarding, an eviction record sealed (2024 c.150 s.52)","a consumer reporting agency shall not disclose the existence of, or information regarding, an eviction record sealed under this section",https://malegislature.gov/Bills/193/H4977; https://malegislature.gov/Bills/193/H1690
proposition_identity,P-297:H3003,P-297:H4040,"Is H3003 (sole section (demographic collection categories)) the same smallest change as H4040's version of P-297? Analytic judgment, not companion/redraft verified.","every government agency that collects demographic data as to the race or ethnicity of residents of the commonwealth of massachusetts, shall use separate collection and tabulations",every government agency that collects demographic data as to the race or ethnicity of residents of the commonwealth shall use separate collection and tabulations,https://malegislature.gov/Bills/193/H3003; https://malegislature.gov/Bills/193/H4040
proposition_identity,P-297:H4040,P-297:H3003,"Is H4040 (2023 c.28 s.7 (new c.6A s.109)) the same smallest change as H3003's version of P-297? Analytic judgment, not companion/redraft verified.",every government agency that collects demographic data as to the race or ethnicity of residents of the commonwealth shall use separate collection and tabulations,"every government agency that collects demographic data as to the race or ethnicity of residents of the commonwealth of massachusetts, shall use separate collection and tabulations",https://malegislature.gov/Bills/193/H4040; https://malegislature.gov/Bills/193/H3003
proposition_identity,P-298:H3003,P-298:H4040,"Is H3003 (sole section (PII confidentiality, aggregate publication)) the same smallest change as H4040's version of P-298? Analytic judgment, not companion/redraft verified.","except for personal identifying information, which shall be deemed confidential, each government agency shall make the data available","except for personal identifying information, which shall be deemed confidential (2023 c.28 s.7)",https://malegislature.gov/Bills/193/H3003; https://malegislature.gov/Bills/193/H4040
proposition_identity,P-298:H4040,P-298:H3003,"Is H4040 (2023 c.28 s.7 (new c.6A s.109)) the same smallest change as H3003's version of P-298? Analytic judgment, not companion/redraft verified.","except for personal identifying information, which shall be deemed confidential (2023 c.28 s.7)","except for personal identifying information, which shall be deemed confidential, each government agency shall make the data available",https://malegislature.gov/Bills/193/H4040; https://malegislature.gov/Bills/193/H3003
proposition_identity,P-299:H4166,P-299:H3375,"Is H4166 (s.8(c)) the same smallest change as H3375's version of P-299? Analytic judgment, not companion/redraft verified.",photographs and other personal identifying information collected by the city pursuant to this chapter shall not be a public record,photographs and other personal identifying information collected by a city or town pursuant to this chapter shall not be a public record,https://malegislature.gov/Bills/193/H4166; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-299:H4287,P-299:H3375,"Is H4287 (s.8(c)) the same smallest change as H3375's version of P-299? Analytic judgment, not companion/redraft verified.",photographs and other personally identifying information collected by the city pursuant to this chapter are not public record,photographs and other personal identifying information collected by a city or town pursuant to this chapter shall not be a public record,https://malegislature.gov/Bills/193/H4287; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-300:H4166,P-300:H3375,"Is H4166 (s.8(b)) the same smallest change as H3375's version of P-300? Analytic judgment, not companion/redraft verified.",no photographs taken in conformance with this chapter shall be discoverable in any judicial or administrative proceeding other than a proceeding held pursuant to this chapter without a court order,shall not be discoverable in any judicial or administrative proceeding ... without a court order,https://malegislature.gov/Bills/193/H4166; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-300:H4287,P-300:H3375,"Is H4287 (s.8(b)) the same smallest change as H3375's version of P-300? Analytic judgment, not companion/redraft verified.",no photographs taken in conformance with this chapter shall be discoverable in any judicial or administrative proceeding other than a proceeding held pursuant to this chapter without a court order,shall not be discoverable in any judicial or administrative proceeding ... without a court order,https://malegislature.gov/Bills/193/H4287; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-302:H4166,P-302:H3336,"Is H4166 (s.8(e)) the same smallest change as H3336's version of P-302? Analytic judgment, not companion/redraft verified.","the city or a manufacturer or vendor of an automated road safety camera system may not use, disclose, sell or permit access to data collected by an automated road safety camera system except as necessary to process camera enforceable violations",are the property of the municipality under agreement with a vendor and may not be used by a vendor for any other purposes,https://malegislature.gov/Bills/193/H4166; https://malegislature.gov/Bills/193/H3336
proposition_identity,P-320:H1873,P-320:H3597,"Is H1873 (c.149B ss.3-3B) the same smallest change as H3597's version of P-320? Analytic judgment, not companion/redraft verified.",an employer or vendor acting on behalf of an employer that is planning to electronically monitor a worker shall provide a worker with notice that electronic monitoring will occur prior to conducting each specific form of electronic monitoring,notice of the employees' right to access or correct the data ... notice of the specific form of electronic monitoring shall be clear and conspicuous,https://malegislature.gov/Bills/193/H1873; https://malegislature.gov/Bills/193/H3597
proposition_identity,P-320:H3597,P-320:H1873,"Is H3597 (c.149 s.105E(i) notice provisions) the same smallest change as H1873's version of P-320? Analytic judgment, not companion/redraft verified.",notice of the employees' right to access or correct the data ... notice of the specific form of electronic monitoring shall be clear and conspicuous,an employer or vendor acting on behalf of an employer that is planning to electronically monitor a worker shall provide a worker with notice that electronic monitoring will occur prior to conducting each specific form of electronic monitoring,https://malegislature.gov/Bills/193/H3597; https://malegislature.gov/Bills/193/H1873
proposition_identity,P-320:S1228,P-320:H1873,"Is S1228 (SECTIONS 3-6) the same smallest change as H1873's version of P-320? Analytic judgment, not companion/redraft verified.","each employer who engages in any type of electronic monitoring shall provide prior written notice to all employees, customers or consumers who may be affected",an employer or vendor acting on behalf of an employer that is planning to electronically monitor a worker shall provide a worker with notice that electronic monitoring will occur prior to conducting each specific form of electronic monitoring,https://malegislature.gov/Bills/193/S1228; https://malegislature.gov/Bills/193/H1873
proposition_identity,P-321:H1873,P-321:S1228,"Is H1873 (c.149B s.3C) the same smallest change as S1228's version of P-321? Analytic judgment, not companion/redraft verified.",an employer or vendor acting on behalf of an employer shall not electronically monitor a worker unless all of the following conditions are met: (i) the electronic monitoring is primarily intended to accomplish any of the following allowable purposes,"the information is collected at the employer's premises and (2) the information is confined to the employee's work ... no electronic monitoring shall take place in bathrooms, locker rooms, shower facilities, dressing areas",https://malegislature.gov/Bills/193/H1873; https://malegislature.gov/Bills/193/S1228
proposition_identity,P-321:S1228,P-321:H1873,"Is S1228 (SECTIONS 2, 7, 12) the same smallest change as H1873's version of P-321? Analytic judgment, not companion/redraft verified.","the information is collected at the employer's premises and (2) the information is confined to the employee's work ... no electronic monitoring shall take place in bathrooms, locker rooms, shower facilities, dressing areas",an employer or vendor acting on behalf of an employer shall not electronically monitor a worker unless all of the following conditions are met: (i) the electronic monitoring is primarily intended to accomplish any of the following allowable purposes,https://malegislature.gov/Bills/193/S1228; https://malegislature.gov/Bills/193/H1873
proposition_identity,P-322:H1873,P-322:H3597,"Is H1873 (c.149B s.3D) the same smallest change as H3597's version of P-322? Analytic judgment, not companion/redraft verified.","shall use worker data collected through electronic monitoring only to accomplish its specified allowable purpose ... shall not solely rely on worker data collected through electronic monitoring when making hiring, promotion, termination, or disciplinary decisions",there is no other practical means of tracking or assessing employee performance; (ii) the employer is using the least invasive form of electronic monitoring available,https://malegislature.gov/Bills/193/H1873; https://malegislature.gov/Bills/193/H3597
proposition_identity,P-322:H3597,P-322:H1873,"Is H3597 (new c.149 s.105E(i)) the same smallest change as H1873's version of P-322? Analytic judgment, not companion/redraft verified.",there is no other practical means of tracking or assessing employee performance; (ii) the employer is using the least invasive form of electronic monitoring available,"shall use worker data collected through electronic monitoring only to accomplish its specified allowable purpose ... shall not solely rely on worker data collected through electronic monitoring when making hiring, promotion, termination, or disciplinary decisions",https://malegislature.gov/Bills/193/H3597; https://malegislature.gov/Bills/193/H1873
proposition_identity,P-322:S1228,P-322:H1873,"Is S1228 (SECTION 9) the same smallest change as H1873's version of P-322? Analytic judgment, not companion/redraft verified.",an employer shall not take any action against an employee on the basis of personal data obtained by electronic monitoring of such employee unless the employer has complied with all the requirements of this act,"shall use worker data collected through electronic monitoring only to accomplish its specified allowable purpose ... shall not solely rely on worker data collected through electronic monitoring when making hiring, promotion, termination, or disciplinary decisions",https://malegislature.gov/Bills/193/S1228; https://malegislature.gov/Bills/193/H1873
proposition_identity,P-323:H3597,P-323:S1228,"Is H3597 (c.149 s.105E(j)) the same smallest change as S1228's version of P-323? Analytic judgment, not companion/redraft verified.",a current employee shall have the right to request a copy of employee work speed data that may be used for the purposes of discipline and termination at least once every seven days,"a reasonable opportunity to review and, upon request, a copy of all personal data obtained or maintained by electronic monitoring of the employee",https://malegislature.gov/Bills/193/H3597; https://malegislature.gov/Bills/193/S1228
proposition_identity,P-323:S1228,P-323:H3597,"Is S1228 (SECTION 8) the same smallest change as H3597's version of P-323? Analytic judgment, not companion/redraft verified.","a reasonable opportunity to review and, upon request, a copy of all personal data obtained or maintained by electronic monitoring of the employee",a current employee shall have the right to request a copy of employee work speed data that may be used for the purposes of discipline and termination at least once every seven days,https://malegislature.gov/Bills/193/S1228; https://malegislature.gov/Bills/193/H3597
proposition_identity,P-342:H3289,P-342:S2250,"Is H3289 (SECTIONS 1-2 (c.90 s.30A; c.147 s.30 para 12)) the same smallest change as S2250's version of P-342? Analytic judgment, not companion/redraft verified.",private detectives and private investigators as defined in section 22 of chapter 147 ... use computer data or equipment under the control of the registrar of motor vehicles in accordance with section 30a of chapter 90 for any purpose inconsistent with (2) of section 22 of chapter 147,private detectives and private investigator as defined in section 22 of chapter 147 ... use computer data or equipment under the control of the registrar of motor vehicles in accordance with section 30a of chapter 90 for any purpose inconsistent with section 22 of chapter 147,https://malegislature.gov/Bills/193/H3289; https://malegislature.gov/Bills/193/S2250
proposition_identity,P-342:S2250,P-342:H3289,"Is S2250 (SECTIONS 1-2 (c.90 s.30A; c.147 s.30 para 12)) the same smallest change as H3289's version of P-342? Analytic judgment, not companion/redraft verified.",private detectives and private investigator as defined in section 22 of chapter 147 ... use computer data or equipment under the control of the registrar of motor vehicles in accordance with section 30a of chapter 90 for any purpose inconsistent with section 22 of chapter 147,private detectives and private investigators as defined in section 22 of chapter 147 ... use computer data or equipment under the control of the registrar of motor vehicles in accordance with section 30a of chapter 90 for any purpose inconsistent with (2) of section 22 of chapter 147,https://malegislature.gov/Bills/193/S2250; https://malegislature.gov/Bills/193/H3289
proposition_identity,P-343:H3289,P-343:S2250,"Is H3289 (c.147 s.30 para 13) the same smallest change as S2250's version of P-343? Analytic judgment, not companion/redraft verified.",access the facial recognition system operated by the registry of motor vehicles ... the license of a licensee who violates paragraphs 12 and 13 shall be revoked,access the facial recognition system operated by the registry of motor vehicles ... the license of a licensee who violates paragraphs 12 and 13 shall be revoked,https://malegislature.gov/Bills/193/H3289; https://malegislature.gov/Bills/193/S2250
proposition_identity,P-343:S2250,P-343:H3289,"Is S2250 (c.147 s.30 para 13) the same smallest change as H3289's version of P-343? Analytic judgment, not companion/redraft verified.",access the facial recognition system operated by the registry of motor vehicles ... the license of a licensee who violates paragraphs 12 and 13 shall be revoked,access the facial recognition system operated by the registry of motor vehicles ... the license of a licensee who violates paragraphs 12 and 13 shall be revoked,https://malegislature.gov/Bills/193/S2250; https://malegislature.gov/Bills/193/H3289
proposition_identity,P-378:H4166,P-378:H3375,"Is H4166 (s.8(a)) the same smallest change as H3375's version of P-378? Analytic judgment, not companion/redraft verified.",photographs and other recorded evidence shall only be captured when a camera enforceable violation occurs,an automated road safety camera system shall only take photographs when a camera enforceable violation occurs,https://malegislature.gov/Bills/193/H4166; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-378:H4287,P-378:H3375,"Is H4287 (s.8(a)) the same smallest change as H3375's version of P-378? Analytic judgment, not companion/redraft verified.",photographs and other recorded evidence shall only be captured when a camera enforceable violation occurs,an automated road safety camera system shall only take photographs when a camera enforceable violation occurs,https://malegislature.gov/Bills/193/H4287; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-379:H4166,P-379:H3336,"Is H4166 (s.8(a)) the same smallest change as H3336's version of P-379? Analytic judgment, not companion/redraft verified.",photographs and other recorded evidence shall be destroyed within 48 hours of the final disposition of a violation,"that do not identify a violation shall be destroyed by any city, town, school department or vendor within 30 days of the date the image was recorded ... shall be destroyed within 1 year of final disposition of proceedings related to the enforcement or defense of a violation",https://malegislature.gov/Bills/193/H4166; https://malegislature.gov/Bills/193/H3336
proposition_identity,P-379:H4287,P-379:H3336,"Is H4287 (s.8(a)) the same smallest change as H3336's version of P-379? Analytic judgment, not companion/redraft verified.",photographs and other recorded evidence shall be destroyed within 48 hours of the final disposition of a violation,"that do not identify a violation shall be destroyed by any city, town, school department or vendor within 30 days of the date the image was recorded ... shall be destroyed within 1 year of final disposition of proceedings related to the enforcement or defense of a violation",https://malegislature.gov/Bills/193/H4287; https://malegislature.gov/Bills/193/H3336
proposition_identity,P-380:H4166,P-380:H3375,"Is H4166 (s.8(d)) the same smallest change as H3375's version of P-380? Analytic judgment, not companion/redraft verified.","to the extent practicable, additional efforts shall be made to ensure that photographs produced by an automated road safety camera system do not identify the vehicle operator, the passengers or the contents of the vehicle","to the extent practicable, additional efforts shall be made to ensure that photographs produced by an automated road safety camera system do not identify the vehicle operator, the passengers or the contents of the vehicle",https://malegislature.gov/Bills/193/H4166; https://malegislature.gov/Bills/193/H3375
proposition_identity,P-385:H3508,P-385:H3524,"Is H3508 (SECTION xx (new c.60 s.35A(a))) the same smallest change as H3524's version of P-385? Analytic judgment, not companion/redraft verified.","no municipality shall publish or cause to be published the name, or other individually identifying information, of a veteran still owing a tax pursuant to this chapter after it has become due and payable","no municipality shall publish or cause to be published the name, or other individually identifying information, of a veteran still owing a tax pursuant to this chapter after it has become due and payable",https://malegislature.gov/Bills/193/H3508; https://malegislature.gov/Bills/193/H3524
proposition_identity,P-385:H3524,P-385:H3508,"Is H3524 (SECTION 1 (new c.60 s.35A(a))) the same smallest change as H3508's version of P-385? Analytic judgment, not companion/redraft verified.","no municipality shall publish or cause to be published the name, or other individually identifying information, of a veteran still owing a tax pursuant to this chapter after it has become due and payable","no municipality shall publish or cause to be published the name, or other individually identifying information, of a veteran still owing a tax pursuant to this chapter after it has become due and payable",https://malegislature.gov/Bills/193/H3524; https://malegislature.gov/Bills/193/H3508
judgment_flag,S2539,P-101,Borderline in-domain: insurance/contract protection for breach reporting (SECTION 17).,,,memo/atomization/family-biometric-breach.md
judgment_flag,S2539,P-287;P-288;P-289,Boundary call: delegated AI-training-data rulemaking mandates atomized per the codebook AI carve-in.,,,memo/atomization/family-biometric-breach.md
judgment_flag,H1455,,Title says 'tracking of certain electronic devices' but official text is verbatim S209 (tolling data). Census include stands on the text.,,,memo/atomization/family-driver-commercial.md
judgment_flag,H3217,,Reclassified to exclude under the symmetric program-incident rule (was a marginal include); successor H4502 verified not to carry its privacy clauses.,,,memo/codebook.md
judgment_flag,S1368,P-260,Marginal census include: physical-adjacent confidentiality mechanism.,,,memo/codebook.md
judgment_flag,H1986,P-165,Marginal census include: study resolve with data-practice charges.,,,memo/codebook.md
judgment_flag,H4744,P-266,"Boundary revision: interpersonal disclosure restrictions (doxing, NDII) are in-domain regardless of civil/criminal mechanism; reversal of the initial criminal-harassment carve-out, recorded in the codebook.",,,memo/codebook.md
judgment_flag,2024 c.166,,"Judgment call: parentage-case impoundment (c.209C ss.28I, 28O) and surrogacy-record confidentiality (s.28B(a)(ix)) ruled EX-ADJACENT as procedure-incident, in tension with the IN verdict for c.118 s.43A(b)(5); reviewer should check the distinction (protects case papers vs protects the regulated material itself).",,,data/enacted_adjudication.csv
judgment_flag,2024 c.221 / H3735,,"Judgment call contested by external review: the Truro disability-proof nondisclosure clause is ruled program-incident (symmetric on filed and enacted sides); the reviewer reads the codebook's government-records subdomain as covering it. If reversed, both H3735 and 2024 c.221 enter and the enacted count rises by one.",,,data/enacted_adjudication.csv
judgment_flag,2024 c.238/c.343/c.252/c.186/c.178,,"Judgment call: program-incident data provisions (registries, compact data system, mortality reviews, TND board records, burn-pit registry) excluded SYMMETRICALLY from both filed and enacted sides; see codebook program-incident rule.",,,data/enacted_adjudication.csv
